150,14:35:30,803,15:00:29,824
150,16:07:30,803,16:32:29,824
150,05:30:30,803,06:02:29,834
150,18:11:30,803,18:52:29,834
150,15:11:30,803,16:00:29,805
150,07:01:30,803,08:00:29,805
150,11:11:30,803,11:55:29,805
150,16:11:30,803,16:51:29,805
150,20:11:30,803,20:55:29,805
150,15:50:30,803,16:07:29,824
150,04:30:30,805,05:11:29,803
150,06:20:30,805,07:07:29,803
150,08:08:30,805,08:45:29,803
150,12:15:30,805,13:00:29,803
150,17:00:30,805,17:45:29,803
150,21:00:30,805,21:45:29,803
150,06:45:30,820,07:07:29,803
150,15:00:30,824,15:22:29,803
150,05:30:30,835,06:07:29,803
